id,rating,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
156,5,38,0,0,5,10,0,10.832368421052628,1
157,3,33,2,2,5,5,0,5.10318181818182,0
158,5,17,1,0,4,3,0,2.214117647058824,1
159,5,154,8,5,26,9,0,5.572207792207795,1
160,5,18,1,0,2,2,0,5.886666666666667,1
161,4,380,14,14,75,15,2,6.764456140350877,0
162,2,157,11,0,28,12,0,4.46846153846154,0
163,5,69,7,3,14,9,0,3.774347826086956,1
164,3,220,10,5,34,17,0,10.186954545454544,0
165,5,12,1,0,3,3,0,8.437500000000004,1
166,5,40,2,2,8,5,0,3.3701666666666696,1
167,5,22,0,1,3,1,0,8.838181818181816,1
168,4,160,1,0,19,13,1,7.763249999999999,0
169,5,231,9,5,49,20,1,10.324891774891775,1
170,1,17,0,1,3,1,0,-0.03372549019607973,1
171,1,60,2,1,10,8,0,10.942500000000003,1
172,5,178,8,2,29,15,0,7.421348314606746,1
173,5,14,2,1,2,1,0,2.4347619047619027,1
174,1,7,0,0,4,0,0,4.274285714285714,1
175,4,131,7,6,27,16,1,3.9757668285912544,0
176,5,60,5,2,15,3,0,4.125,1
177,5,10,1,2,1,2,1,2.2650000000000006,1
178,4,23,0,0,4,3,0,3.774347826086956,0
179,5,10,0,0,0,0,0,5.236000000000001,1
180,5,55,3,1,13,2,0,3.4238181818181843,1
181,4,6,0,0,3,1,0,6.690000000000001,0
182,4,552,14,12,99,53,4,6.63228260869565,0
183,4,100,2,3,21,8,0,3.2577999999999996,0
184,5,37,1,1,5,6,0,7.763378378378377,1
185,4,297,16,6,54,23,0,10.95757575757576,0
186,5,1,0,0,1,0,0,12.04,1
187,5,34,2,0,4,5,1,0.551764705882352,1
188,4,14,0,0,3,5,0,2.928571428571427,0
189,3,401,8,15,70,65,1,11.162796134663346,0
190,5,28,2,1,4,6,0,4.442499999999999,1
191,5,16,1,1,4,1,0,2.293125,1
